Transaction Date,Disclosure Date,Owner,Ticker,Trade Value Range,Politician,Politician Type,Transaction Type (Lvl 1),Transaction Type (Lvl 2)
2021-12-16,2021-12-22,Self,VRM,"$1,001 - $15,000","William F Hagerty, Iv",Senator,Sale,Sale (Full)
2021-12-01,2021-12-22,Self,CTAA,"$50,001 - $100,000","William F Hagerty, Iv",Senator,Sale,Sale (Full)
2021-12-03,2021-12-16,Spouse,WFC,"$1,001 - $15,000","A. Mitchell Mcconnell, Jr.",Senator,Purchase,Purchase
2021-11-01,2021-12-10,Self,PYPL,"$250,001 - $500,000",John W Hickenlooper,Senator,Sale,Sale (Full)
2021-11-01,2021-12-10,Self,NVDA,"$500,001 - $1,000,000",John W Hickenlooper,Senator,Sale,Sale (Full)
2021-11-01,2021-12-10,Self,MSFT,"$250,001 - $500,000",John W Hickenlooper,Senator,Sale,Sale (Full)
2021-10-27,2021-12-10,Self,FB,"$250,001 - $500,000",John W Hickenlooper,Senator,Sale,Sale (Full)
2021-10-29,2021-12-10,Self,AAPL,"$250,001 - $500,000",John W Hickenlooper,Senator,Sale,Sale (Full)
2021-10-29,2021-12-10,Self,AMZN,"$250,001 - $500,000",John W Hickenlooper,Senator,Sale,Sale (Full)
2021-11-01,2021-12-10,Self,GOOGL,"$250,001 - $500,000",John W Hickenlooper,Senator,Sale,Sale (Full)
2021-11-08,2021-12-10,Spouse,TTD,"$15,001 - $50,000",John W Hickenlooper,Senator,Sale,Sale (Partial)
2021-11-22,2021-12-10,Joint,MSFT,"$1,001 - $15,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-22,2021-12-10,Joint,OXY,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-22,2021-12-10,Joint,ECOM,"$1,001 - $15,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-22,2021-12-10,Joint,AAPL,"$1,001 - $15,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-22,2021-12-10,Joint,OXY,"$50,001 - $100,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-17,2021-12-10,Joint,PYPL,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Partial)
2021-11-17,2021-12-10,Joint,PYPL,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-17,2021-12-10,Joint,PYPL,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-12,2021-12-10,Joint,ADBE,"$1,001 - $15,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-08,2021-12-10,Joint,CLF,"$15,001 - $50,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-08,2021-12-10,Joint,CLF,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-08,2021-12-10,Joint,CLF,"$15,001 - $50,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-08,2021-12-10,Joint,CLF,"$100,001 - $250,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-05,2021-12-10,Joint,F,"$1,001 - $15,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-05,2021-12-10,Joint,F,"$1,001 - $15,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-04,2021-12-10,Joint,SSYS,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-02,2021-12-10,Joint,SCCO,"$1,001 - $15,000",Thomas H Tuberville,Senator,Purchase,Purchase
2021-11-02,2021-12-10,Joint,SCCO,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
2021-11-02,2021-12-10,Joint,SCCO,"$1,001 - $15,000",Thomas H Tuberville,Senator,Sale,Sale (Full)
